*
POSN mm 	LOAD kn	STRAIN1 %	STRAIN2 %	STRESS(MPA)	TIME(sec)
-6.092588	14.677536	-1.723129	0.358129	196.385236	63.000000
-6.087827	14.783835	-1.723129	0.361434	197.807519	63.500000
-6.083065	14.856786	-1.723129	0.364597	198.783596	64.000000
-6.077774	14.973506	-1.723129	0.367855	200.345318	64.500000
-6.073541	15.071469	-1.723129	0.371632	201.656050	65.000000
-6.068250	15.159009	-1.723129	0.374654	202.827342	65.500000
-6.062959	15.273646	-1.722942	0.378243	204.361177	66.000000
-6.058197	15.352849	-1.723129	0.381737	205.420917	66.500000
-6.053436	15.444558	-1.723316	0.384758	206.647985	67.000000
-6.048145	15.536267	-1.722755	0.388630	207.875053	67.500000
-6.042854	15.642567	-1.723129	0.391888	209.297336	68.000000
-6.038092	15.721770	-1.723129	0.395665	210.357077	68.500000
-6.033330	15.814521	-1.722942	0.399490	211.598088	69.000000
-6.028039	15.907273	-1.723316	0.402936	212.839100	69.500000
-6.022748	15.981265	-1.723129	0.406525	213.829121	70.000000
-6.017457	16.096944	-1.723503	0.411104	215.376899	70.500000
-6.012166	16.185527	-1.723129	0.414598	216.562135	71.000000
-6.007934	16.272025	-1.723316	0.419509	217.719484	71.500000
-6.002643	16.354355	-1.723129	0.423192	218.821056	72.000000
-5.997352	16.382493	-1.723503	0.425930	219.197543	72.500000
-5.992590	16.520057	-1.723503	0.431785	221.038144	73.000000
-5.987828	16.605513	-1.723129	0.436129	222.181548	73.500000
-5.982537	16.686801	-1.723129	0.440897	223.269177	74.000000
-5.977775	16.778510	-1.722942	0.445713	224.496245	74.500000
-5.973014	16.844166	-1.723129	0.449915	225.374714	75.000000
-5.967723	16.934833	-1.723129	0.455676	226.587837	75.500000
-5.962961	17.016120	-1.723129	0.459972	227.675466	76.000000
-5.957141	17.093239	-1.723129	0.465780	228.707318	76.500000
-5.952908	17.170359	-1.723129	0.471162	229.739171	77.000000
-5.947617	17.226635	-1.723129	0.476403	230.492144	77.500000
-5.942326	17.314175	-1.723503	0.482777	231.663436	78.000000
-5.937564	17.380873	-1.723129	0.489199	232.555849	78.500000
-5.933861	17.416306	-1.723316	0.494015	233.029944	79.000000
-5.927512	17.535111	-1.722755	0.501002	234.619554	79.500000
-5.922221	17.594514	-1.723129	0.508274	235.414360	80.000000
-5.917459	17.651832	-1.723316	0.515545	236.181277	80.500000
-5.912697	17.695602	-1.722942	0.521872	236.766923	81.000000
-5.907935	17.787311	-1.723129	0.530748	237.993991	81.500000
-5.903173	17.839419	-1.722755	0.538539	238.691188	82.000000
-5.897882	17.897779	-1.723129	0.546613	239.472050	82.500000
-5.893120	17.962393	-1.723316	0.555725	240.336575	83.000000
-5.887300	18.001994	-1.723129	0.564460	240.866445	83.500000
-5.883068	18.066608	-1.722942	0.574186	241.730970	84.000000
-5.877777	18.129137	-1.723316	0.583771	242.567607	84.500000
-5.872486	18.177075	-1.723129	0.594300	243.209029	85.000000
-5.867724	18.229183	-1.723129	0.605773	243.906227	85.500000
-5.861904	18.227099	-1.723129	0.615358	243.878339	86.000000
-5.857671	18.308386	-1.723316	0.627492	244.965967	86.500000
-5.853439	18.355283	-1.723129	0.639532	245.593445	87.000000
-5.848148	18.396969	-1.723316	0.652375	246.151203	87.500000
-5.842857	18.439697	-1.723316	0.664840	246.722905	88.000000
-5.838624	18.477215	-1.722942	0.677682	247.224888	88.500000
-5.833333	18.512648	-1.723316	0.691044	247.698982	89.000000
-5.828042	18.528280	-1.723503	0.704028	247.908141	89.500000
-5.823280	18.593935	-1.723316	0.719137	248.786610	90.000000
-5.817989	18.622073	-1.723503	0.734057	249.163097	90.500000
-5.811111	18.652296	-1.723129	0.749072	249.567472	91.000000
-5.807937	18.683560	-1.723503	0.764653	249.985790	91.500000
-5.802646	18.702319	-1.722942	0.779526	250.236781	92.000000
-5.797884	18.748174	-1.722942	0.796334	250.850315	92.500000
-5.792593	18.798197	-1.723129	0.811302	251.519625	93.000000
-5.787831	18.806534	-1.722755	0.828488	251.631177	93.500000
-5.782540	18.833630	-1.723129	0.845391	251.993719	94.000000
-5.777249	18.839883	-1.723129	0.861444	252.077383	94.500000
-5.773016	18.878442	-1.723129	0.878867	252.593309	95.000000
-5.767725	18.914918	-1.723503	0.897234	253.081348	95.500000
-5.762435	18.935761	-1.722755	0.915079	253.360227	96.000000
-5.757673	18.960772	-1.723316	0.932832	253.694882	96.500000
-5.751853	18.979531	-1.723129	0.951718	253.945873	97.000000
-5.747620	18.998290	-1.723129	0.970982	254.196864	97.500000
-5.742858	19.029554	-1.723316	0.988546	254.615182	98.000000
-5.737038	19.060819	-1.723129	1.008754	255.033501	98.500000
-5.732805	19.069156	-1.723316	1.027451	255.145053	99.000000
-5.726456	19.062903	-1.723316	1.045960	255.061389	99.500000
-5.722223	19.116053	-1.722942	1.064751	255.772531	100.000000
-5.717991	19.124390	-1.723129	1.083354	255.884082	100.500000
-5.713758	19.160865	-1.722755	1.102335	256.372121	101.000000
-5.707938	19.178582	-1.723316	1.121221	256.609168	101.500000
-5.703176	19.196298	-1.723129	1.140768	256.846215	102.000000
-5.697885	19.227563	-1.723129	1.159088	257.264533	102.500000
-5.694711	19.211930	-1.723316	1.177124	257.055374	103.000000
-5.688362	19.260911	-1.723316	1.196860	257.710740	103.500000
-5.683600	19.285923	-1.723503	1.216501	258.045395	104.000000
-5.678838	19.300513	-1.722755	1.235954	258.240610	104.500000
-5.673018	19.327609	-1.723316	1.255218	258.603153	105.000000
-5.668785	19.329693	-1.723129	1.274482	258.631041	105.500000
-5.663494	19.350536	-1.723129	1.292990	258.909920	106.000000
-5.658732	19.383885	-1.723316	1.306211	259.356126	106.500000
-5.652912	19.400559	-1.723129	1.328874	259.579230	107.000000
-5.647092	19.422445	-1.723129	1.348704	259.872053	107.500000
-5.641801	19.415150	-1.722942	1.367213	259.774445	108.000000
-5.638627	19.441203	-1.723316	1.385721	260.123044	108.500000
-5.633336	19.469341	-1.723503	1.405174	260.499531	109.000000
-5.627516	19.500606	-1.723129	1.425004	260.917849	109.500000
-5.622754	19.511027	-1.723316	1.443418	261.057289	110.000000
-5.617463	19.524575	-1.723503	1.462588	261.238560	110.500000
-5.613230	19.545418	-1.723129	1.481852	261.517439	111.000000
-5.607939	19.542292	-1.723129	1.499227	261.475607	111.500000
-5.602649	19.583978	-1.723129	1.519057	262.033365	112.000000
-5.597887	19.595442	-1.723129	1.538321	262.186749	112.500000
-5.593125	19.596484	-1.723316	1.557019	262.200693	113.000000
-5.587834	19.640254	-1.722942	1.575716	262.786339	113.500000
-5.582543	19.631917	-1.723316	1.594791	262.674787	114.000000
-5.577781	19.670476	-1.723316	1.613299	263.190713	114.500000
-5.573019	19.696530	-1.723129	1.632941	263.539312	115.000000
-5.567728	19.705909	-1.723129	1.651827	263.664808	115.500000
-5.562967	19.727795	-1.723129	1.670524	263.957631	116.000000
-5.559263	19.711120	-1.723129	1.688088	263.734528	116.500000
-5.553443	19.761143	-1.723129	1.708108	264.403837	117.000000
-5.547623	19.781986	-1.723503	1.727371	264.682716	117.500000
-5.543390	19.794492	-1.723503	1.746635	264.850044	118.000000
-5.538099	19.818462	-1.723129	1.764766	265.170755	118.500000
-5.531750	19.819504	-1.723129	1.783841	265.184699	119.000000
-5.528046	19.838262	-1.723316	1.802538	265.435690	119.500000
-5.523285	19.829925	-1.723316	1.817175	265.324138	120.000000
-5.518523	19.877864	-1.723129	1.838535	265.965560	120.500000
-5.512703	19.890370	-1.723316	1.857421	266.132887	121.000000
-5.507941	19.911213	-1.723316	1.876308	266.411766	121.500000
-5.502650	19.929972	-1.723129	1.894816	266.662758	122.000000
-5.497888	19.929972	-1.723316	1.913136	266.662758	122.500000
-5.492597	19.963320	-1.723316	1.932588	267.108964	123.000000
-5.487835	19.979995	-1.722942	1.950341	267.332067	123.500000
-5.482544	19.994585	-1.723316	1.969038	267.527283	124.000000
-5.477783	20.014824	-1.723129	1.987736	267.798075	124.500000
-5.472492	20.004402	-1.723129	2.006055	267.658635	125.000000
-5.468259	20.041919	-1.723316	2.024941	268.160617	125.500000
-5.462968	20.062762	-1.723129	2.044394	268.439496	126.000000
-5.458206	20.075268	-1.722942	2.063280	268.606824	126.500000
-5.453444	20.100280	-1.723316	2.080844	268.941479	127.000000
-5.448153	20.100280	-1.722942	2.100297	268.941479	127.500000
-5.442862	20.114870	-1.723129	2.118428	269.136694	128.000000
-5.438101	20.141966	-1.723129	2.136559	269.499237	128.500000
-5.433339	20.160725	-1.723129	2.156578	269.750228	129.000000
-5.428048	20.175315	-1.722755	2.174520	269.945443	129.500000
-5.423286	20.171146	-1.723316	2.192839	269.889667	130.000000
-5.418524	20.196158	-1.723129	2.210970	270.224322	130.500000
-5.413233	20.204495	-1.722755	2.230234	270.335874	131.000000
-5.407942	20.235759	-1.723129	2.248364	270.754192	131.500000
-5.403181	20.246181	-1.722942	2.266873	270.893632	132.000000
-5.398419	20.264939	-1.722942	2.285570	271.144623	132.500000
-5.392070	20.283698	-1.723129	2.303890	271.395614	133.000000
-5.387837	20.210748	-1.723316	2.315788	270.419538	133.500000
-5.382546	20.325384	-1.723129	2.339396	271.953372	134.000000
-5.377255	20.333721	-1.723129	2.358093	272.064924	134.500000
-5.372493	20.337890	-1.722942	2.377546	272.120700	135.000000
-5.367731	20.360817	-1.722942	2.395676	272.427467	135.500000
-5.362440	20.362902	-1.722755	2.414185	272.455355	136.000000
-5.358208	20.385829	-1.723316	2.432693	272.762122	136.500000
-5.352917	20.408756	-1.723129	2.450824	273.068889	137.000000
-5.348155	20.417093	-1.723129	2.469521	273.180440	137.500000
-5.343393	20.429599	-1.723316	2.487463	273.347768	138.000000
-5.338631	20.433768	-1.722755	2.505594	273.403544	138.500000
-5.333869	20.448358	-1.722755	2.524102	273.598759	139.000000
-5.328578	20.483791	-1.723129	2.542988	274.072853	139.500000
-5.323288	20.494212	-1.723503	2.561874	274.212293	140.000000
-5.317997	20.508803	-1.723129	2.578872	274.407508	140.500000
-5.313235	20.515055	-1.723129	2.597380	274.491172	141.000000
-5.307944	20.527561	-1.723316	2.615700	274.658499	141.500000
-5.303182	20.525477	-1.723316	2.633642	274.630611	142.000000
-5.298420	20.567163	-1.722942	2.652528	275.188369	142.500000
-5.293658	20.575500	-1.722942	2.669903	275.299921	143.000000
-5.288367	20.585922	-1.723129	2.688223	275.439361	143.500000
-5.283606	20.600512	-1.723503	2.705409	275.634576	144.000000
-5.277786	20.600512	-1.723316	2.723917	275.634576	144.500000
-5.273553	20.629692	-1.722942	2.742048	276.025007	145.000000
-5.268262	20.652619	-1.723129	2.759990	276.331774	145.500000
-5.263500	20.658872	-1.723129	2.778687	276.415437	146.000000
-5.258738	20.675547	-1.723129	2.797007	276.638541	146.500000
-5.252389	20.633861	-1.723316	2.813438	276.080782	147.000000
-5.248156	20.696390	-1.723129	2.832702	276.917420	147.500000
-5.243395	20.717233	-1.723129	2.850832	277.196299	148.000000
-5.238104	20.725570	-1.723129	2.870096	277.307850	148.500000
-5.233342	20.742244	-1.723503	2.888227	277.530954	149.000000
-5.228051	20.742244	-1.723129	2.905980	277.530954	149.500000
-5.222760	20.752666	-1.723129	2.924488	277.670393	150.000000
-5.218527	20.769340	-1.723316	2.940730	277.893496	150.500000
